id_municipio,ano,mortalidade_1,mortalidade_5,taxa_freq_liquida_pre,indice_gini,prop_pobreza_extrema_criancas,prop_pobreza_criancas,prop_vulner_pobreza_criancas,taxa_agua_esgoto_inadequados,taxa_criancas_fora_escola_4_5
3142254,2000,28.94,31.68,35.06,0.7,68.13,85.51,94.7,10.61,45.57
3144672,2000,44.61,48.76,11.23,0.69,41.54,68.1,86.14,10.26,83.92
3145059,1991,37.65,49.36,7.42,0.35,29.46,76.19,93.9,23.68,NA
3145208,2010,12.7,14.75,36.34,0.35,2.08,5.8,18.15,0.15,39.64
3145307,2000,38.95,42.59,7.07,0.75,57.81,81.41,93.65,12.03,87.71
3145851,2000,30.2,33.05,31.47,0.37,18.36,65.94,94.59,1.32,48.49
3147709,2000,22.95,25.14,34.19,0.71,10.33,44.57,73.32,1.99,62.31
3149705,2010,14.4,16.77,46.73,0.35,0,2,21.23,0.35,22.36
3151305,2010,14.5,16.85,57.3,0.37,1.51,8.95,40.18,0,17.41
3154101,1991,31.26,41.14,28.48,0.75,38.12,66.16,81.92,0.71,NA
3156403,2000,26.93,29.48,25.54,0.71,7.25,35.89,66.99,1.4,54.87
3156502,2000,31.42,34.38,10.73,0.7,61.27,85.67,93,15.08,85.12
3157104,1991,39.9,52.24,37.22,0.74,48.34,78.81,89.49,13.62,NA
3157377,2000,49.39,53.95,23.17,0.74,75.66,87.9,96.14,20.17,67.58
3158201,1991,44.53,58.13,2.92,0.73,60.77,79.86,88.35,27.23,NA
3162104,2000,21.59,23.65,44.56,0.72,19.63,53.71,97.03,1.6,40.53
3164431,1991,44.53,58.13,28.47,0.34,44.76,85.17,98.64,9.11,NA
3166600,1991,36.27,47.59,0,0.35,17.99,45.27,90.23,0,NA
3169505,1991,36.59,48,19.89,0.85,100,100,100,1.79,NA
3170404,2000,16.03,17.57,24.59,0.7,10.63,32.22,63.62,4.43,68.84
3202603,2000,15.59,18.16,77.12,0.69,13.72,33.78,64.63,0.75,20.9
3203056,1991,52.77,61.07,28.15,0.71,35.33,68.17,83.23,2.37,NA
3304508,1991,32.39,37.04,72.82,0.7,35.07,66.63,83.14,1.48,NA
3500808,2010,14.1,16.33,87.79,0.36,2.78,11.92,41.72,0.94,6.32
3501103,2010,16.3,18.89,76.8,0.35,1.57,7.62,33.58,0,23.2
3501707,1991,18.29,20.73,11.36,0.34,1.6,7.56,30.55,0,NA
3503356,1991,32.16,36.38,14.47,0.77,22.07,77.47,83.77,0,NA
3503604,1991,28.2,31.93,28.67,0.32,2.48,15.29,52.5,0.15,NA
3503604,2010,15.7,18.2,72.21,0.36,0.69,7.09,28.07,0.1,15.65
3504602,2010,17.5,20.21,56.39,0.36,0.15,2.07,14.02,0,4.74
3505807,1991,28.61,32.39,11.94,0.7,34.59,68.95,89.47,0,NA
3507456,1991,28.2,31.93,56.9,0.35,0,1.81,43.31,0.59,NA
